source,destination,price,train_name
Jaipur,Manali,2121,Superfast Express
Chennai,Mumbai,1512,Duronto Express
Goa,Bangalore,621,Rajdhani Express
Pune,Goa,2381,Rajdhani Express
Hyderabad,Pune,648,Shatabdi Express
Delhi,Bangalore,1359,Duronto Express
Bangalore,Delhi,2378,Jan Shatabdi
Goa,Pune,562,Shatabdi Express
Delhi,Hyderabad,1767,Duronto Express
Bangalore,Manali,2054,Superfast Express
Pune,Jaipur,869,Passenger Train
Kolkata,Manali,1748,Shatabdi Express
Goa,Hyderabad,559,Superfast Express
Goa,Manali,1522,Duronto Express
Jaipur,Goa,906,Shatabdi Express
Kolkata,Chennai,1561,Passenger Train
Bangalore,Jaipur,1115,Jan Shatabdi
Kolkata,Goa,1239,Garib Rath
Mumbai,Goa,2381,Garib Rath
Jaipur,Bangalore,1429,Superfast Express
Delhi,Mumbai,1638,Intercity Express
Jaipur,Delhi,1712,Jan Shatabdi
Pune,Bangalore,573,Garib Rath
Goa,Kolkata,970,Shatabdi Express
Hyderabad,Manali,1283,Duronto Express
Chennai,Manali,753,Jan Shatabdi
Manali,Delhi,929,Passenger Train
Kolkata,Mumbai,2398,Rajdhani Express
Manali,Pune,1956,Superfast Express
Pune,Manali,1484,Duronto Express
Goa,Bangalore,434,Garib Rath
Delhi,Jaipur,1097,Garib Rath
Pune,Chennai,1624,Superfast Express
Hyderabad,Jaipur,940,Tejas Express
Jaipur,Mumbai,1504,Passenger Train
Pune,Delhi,2465,Intercity Express
Bangalore,Chennai,1716,Passenger Train
Goa,Kolkata,1907,Tejas Express
Chennai,Hyderabad,1105,Intercity Express
Manali,Delhi,418,Duronto Express
Delhi,Bangalore,1829,Garib Rath
Hyderabad,Delhi,2079,Rajdhani Express
Goa,Hyderabad,1023,Tejas Express
Pune,Hyderabad,986,Garib Rath
Goa,Pune,2109,Rajdhani Express
Delhi,Goa,1003,Intercity Express
Delhi,Hyderabad,688,Garib Rath
Delhi,Kolkata,647,Jan Shatabdi
Chennai,Manali,2483,Duronto Express
Delhi,Jaipur,823,Superfast Express
Goa,Manali,1693,Passenger Train
Manali,Delhi,2202,Jan Shatabdi
Kolkata,Delhi,1146,Tejas Express
Kolkata,Manali,1699,Superfast Express
Pune,Mumbai,1042,Garib Rath
Manali,Hyderabad,1367,Rajdhani Express
Delhi,Kolkata,631,Rajdhani Express
Kolkata,Mumbai,1528,Jan Shatabdi
Bangalore,Jaipur,1810,Rajdhani Express
Bangalore,Manali,837,Shatabdi Express
Kolkata,Hyderabad,1697,Intercity Express
Hyderabad,Delhi,1518,Passenger Train
Jaipur,Hyderabad,2325,Intercity Express
Goa,Pune,2145,Jan Shatabdi
Chennai,Delhi,1090,Passenger Train
Chennai,Mumbai,1341,Shatabdi Express
Kolkata,Bangalore,2292,Intercity Express
Mumbai,Hyderabad,1041,Intercity Express
Pune,Delhi,1470,Rajdhani Express
Bangalore,Pune,2152,Duronto Express
Kolkata,Delhi,1043,Jan Shatabdi
Delhi,Goa,2252,Duronto Express
Hyderabad,Delhi,632,Tejas Express
Hyderabad,Pune,1919,Passenger Train
Hyderabad,Manali,1177,Shatabdi Express
Chennai,Jaipur,994,Passenger Train
Chennai,Delhi,1365,Rajdhani Express
Pune,Jaipur,441,Shatabdi Express
Hyderabad,Bangalore,597,Passenger Train
Hyderabad,Goa,689,Shatabdi Express
Jaipur,Goa,1032,Tejas Express
Pune,Kolkata,1292,Tejas Express
Kolkata,Chennai,1829,Tejas Express
Bangalore,Pune,823,Duronto Express
Kolkata,Jaipur,1223,Garib Rath
Hyderabad,Goa,575,Garib Rath
Mumbai,Bangalore,2302,Shatabdi Express
Mumbai,Jaipur,1265,Garib Rath
Manali,Mumbai,750,Shatabdi Express
Pune,Bangalore,2160,Duronto Express
Manali,Bangalore,1170,Duronto Express
Manali,Hyderabad,1165,Intercity Express
Bangalore,Chennai,1080,Passenger Train
Chennai,Hyderabad,1757,Superfast Express
Goa,Manali,1438,Passenger Train
Goa,Jaipur,1056,Shatabdi Express
Delhi,Mumbai,1136,Intercity Express
Pune,Hyderabad,1873,Intercity Express
Kolkata,Chennai,1081,Jan Shatabdi
Jaipur,Goa,1083,Jan Shatabdi
Pune,Delhi,1620,Passenger Train
Kolkata,Goa,1310,Tejas Express
Mumbai,Goa,700,Passenger Train
Chennai,Hyderabad,1540,Rajdhani Express
Pune,Bangalore,797,Passenger Train
Kolkata,Hyderabad,1931,Duronto Express
Manali,Delhi,1338,Shatabdi Express
Hyderabad,Delhi,409,Garib Rath
Chennai,Mumbai,1191,Duronto Express
Chennai,Mumbai,2475,Jan Shatabdi
Chennai,Kolkata,1103,Rajdhani Express
Jaipur,Pune,624,Rajdhani Express
Hyderabad,Manali,2079,Garib Rath
Mumbai,Manali,1465,Intercity Express
Chennai,Jaipur,1211,Passenger Train
Pune,Bangalore,456,Tejas Express
Chennai,Kolkata,1562,Duronto Express
Hyderabad,Delhi,2308,Superfast Express
Manali,Chennai,2187,Rajdhani Express
Jaipur,Bangalore,1816,Garib Rath
